,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level,percentage_by_level_and_total_people_by_state_and_year,mean_by_state_and_level
0,5,1,2,3157,3157,0,1001646,718194,283452,100.0,0.0,2,0.315,0.48200000000000004
1,5,1,1,118401,111212,7189,1001646,718194,283452,93.928,6.072,1,11.821,9.703
2,5,1,3,5092,3921,1171,1001646,718194,283452,77.003,22.997,2,0.508,0.57
3,5,1,7,257632,124638,132994,1001646,718194,283452,48.378,51.622,1,25.721,27.153000000000002
4,5,1,4,140654,135145,5509,1001646,718194,283452,96.083,3.917,1,14.042,13.133
5,5,1,5,339865,226954,112911,1001646,718194,283452,66.778,33.222,2,33.931,36.571
6,5,1,6,57276,43896,13380,1001646,718194,283452,76.639,23.361,2,5.718,5.202999999999999
7,5,1,9,14992,9284,5708,1001646,718194,283452,61.926,38.074,0,1.4969999999999999,1.133
8,5,1,8,64577,59987,4590,1001646,718194,283452,92.892,7.108,1,6.447,6.0520000000000005
9,5,2,2,3007,2808,199,2864432,1952086,912346,93.382,6.6179999999999986,2,0.105,0.147
10,5,2,1,294185,217573,76612,2864432,1952086,912346,73.958,26.042,1,10.27,9.408
11,5,2,3,20085,14338,5747,2864432,1952086,912346,71.387,28.613000000000003,2,0.701,1.013
12,5,2,7,748055,418740,329315,2864432,1952086,912346,55.977,44.023,1,26.115,28.693
13,5,2,4,423938,409432,14506,2864432,1952086,912346,96.578,3.422,1,14.8,12.104000000000001
14,5,2,5,1065217,638491,426726,2864432,1952086,912346,59.94,40.06,2,37.188,37.242
15,5,2,6,107923,75762,32161,2864432,1952086,912346,70.2,29.8,1,3.7680000000000002,3.951
16,5,2,9,30403,16961,13442,2864432,1952086,912346,55.787,44.213,0,1.061,1.246
17,5,2,8,171619,157981,13638,2864432,1952086,912346,92.053,7.947,2,5.9910000000000005,6.196000000000001
18,5,3,2,4601,4175,426,510701,371519,139182,90.741,9.259,2,0.9009999999999999,1.746
19,5,3,1,107013,87000,20013,510701,371519,139182,81.29899999999998,18.701,1,20.954,17.585
20,5,3,3,10934,8555,2379,510701,371519,139182,78.242,21.758000000000006,2,2.141,2.149
21,5,3,7,163214,81908,81306,510701,371519,139182,50.184,49.816,2,31.959,31.247
22,5,3,4,101715,97916,3799,510701,371519,139182,96.265,3.735,2,19.917,20.465999999999998
23,5,3,5,53931,36496,17435,510701,371519,139182,67.672,32.328,2,10.56,12.94
24,5,3,6,24307,19059,5248,510701,371519,139182,78.41,21.59,1,4.76,5.093999999999999
25,5,3,9,6810,3522,3288,510701,371519,139182,51.718,48.282,0,1.3330000000000002,1.524
26,5,3,8,38176,32888,5288,510701,371519,139182,86.148,13.852,1,7.475,7.25
27,5,4,2,27881,20021,7860,821042,593926,227116,71.809,28.191,2,3.3960000000000004,3.4410000000000003
28,5,4,1,270087,252119,17968,821042,593926,227116,93.347,6.653,1,32.896,31.868000000000002
29,5,4,3,5336,4528,808,821042,593926,227116,84.85799999999998,15.142,1,0.65,0.608
30,5,4,7,197289,83853,113436,821042,593926,227116,42.503,57.497,1,24.029,24.63
31,5,4,4,110497,104245,6252,821042,593926,227116,94.342,5.658,2,13.458,15.248
32,5,4,5,143653,70379,73274,821042,593926,227116,48.992,51.008,1,17.496,15.047
33,5,4,6,19509,15239,4270,821042,593926,227116,78.113,21.887,1,2.376,2.478
34,5,4,9,7631,5220,2411,821042,593926,227116,68.405,31.595,0,0.929,1.024
35,5,4,8,39159,38322,837,821042,593926,227116,97.863,2.137,2,4.769,5.6579999999999995
36,5,5,2,9054,7105,1949,4807543,3763270,1044273,78.47399999999998,21.526,2,0.188,0.203
37,5,5,1,2642672,2468684,173988,4807543,3763270,1044273,93.416,6.584,1,54.968999999999994,53.291000000000004
