,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level
0,2005,Aguascalientes,1 salario m¡nimo,3157,3157,0,1001646,718194,283452,0,0,0
1,2005,Aguascalientes,Menos de 1 s.m.,118401,111212,7189,1001646,718194,283452,0,0,0
2,2005,Aguascalientes,M s de 1 hasta 2 s.m.,5092,3921,1171,1001646,718194,283452,0,0,0
3,2005,Aguascalientes,M s de 10 s.m.,257632,124638,132994,1001646,718194,283452,0,0,0
4,2005,Aguascalientes,M s de 2 hasta 3 s.m.,140654,135145,5509,1001646,718194,283452,0,0,0
5,2005,Aguascalientes,M s de 3 hasta 5 s.m.,339865,226954,112911,1001646,718194,283452,0,0,0
6,2005,Aguascalientes,M s de 5 hasta 10 s.m.,57276,43896,13380,1001646,718194,283452,0,0,0
7,2005,Aguascalientes,No especificado,14992,9284,5708,1001646,718194,283452,0,0,0
8,2005,Aguascalientes,No recibe ingresos,64577,59987,4590,1001646,718194,283452,0,0,0
9,2005,Baja California,1 salario m¡nimo,3007,2808,199,2864432,1952086,912346,0,0,0
10,2005,Baja California,Menos de 1 s.m.,294185,217573,76612,2864432,1952086,912346,0,0,0
11,2005,Baja California,M s de 1 hasta 2 s.m.,20085,14338,5747,2864432,1952086,912346,0,0,0
12,2005,Baja California,M s de 10 s.m.,748055,418740,329315,2864432,1952086,912346,0,0,0
13,2005,Baja California,M s de 2 hasta 3 s.m.,423938,409432,14506,2864432,1952086,912346,0,0,0
14,2005,Baja California,M s de 3 hasta 5 s.m.,1065217,638491,426726,2864432,1952086,912346,0,0,0
15,2005,Baja California,M s de 5 hasta 10 s.m.,107923,75762,32161,2864432,1952086,912346,0,0,0
16,2005,Baja California,No especificado,30403,16961,13442,2864432,1952086,912346,0,0,0
17,2005,Baja California,No recibe ingresos,171619,157981,13638,2864432,1952086,912346,0,0,0
18,2005,Baja California Sur,1 salario m¡nimo,4601,4175,426,510701,371519,139182,0,0,0
19,2005,Baja California Sur,Menos de 1 s.m.,107013,87000,20013,510701,371519,139182,0,0,0
20,2005,Baja California Sur,M s de 1 hasta 2 s.m.,10934,8555,2379,510701,371519,139182,0,0,0
21,2005,Baja California Sur,M s de 10 s.m.,163214,81908,81306,510701,371519,139182,0,0,0
22,2005,Baja California Sur,M s de 2 hasta 3 s.m.,101715,97916,3799,510701,371519,139182,0,0,0
23,2005,Baja California Sur,M s de 3 hasta 5 s.m.,53931,36496,17435,510701,371519,139182,0,0,0
24,2005,Baja California Sur,M s de 5 hasta 10 s.m.,24307,19059,5248,510701,371519,139182,0,0,0
25,2005,Baja California Sur,No especificado,6810,3522,3288,510701,371519,139182,0,0,0
26,2005,Baja California Sur,No recibe ingresos,38176,32888,5288,510701,371519,139182,0,0,0
27,2005,Campeche,1 salario m¡nimo,27881,20021,7860,821042,593926,227116,0,0,0
28,2005,Campeche,Menos de 1 s.m.,270087,252119,17968,821042,593926,227116,0,0,0
29,2005,Campeche,M s de 1 hasta 2 s.m.,5336,4528,808,821042,593926,227116,0,0,0
30,2005,Campeche,M s de 10 s.m.,197289,83853,113436,821042,593926,227116,0,0,0
31,2005,Campeche,M s de 2 hasta 3 s.m.,110497,104245,6252,821042,593926,227116,0,0,0
32,2005,Campeche,M s de 3 hasta 5 s.m.,143653,70379,73274,821042,593926,227116,0,0,0
33,2005,Campeche,M s de 5 hasta 10 s.m.,19509,15239,4270,821042,593926,227116,0,0,0
34,2005,Campeche,No especificado,7631,5220,2411,821042,593926,227116,0,0,0
35,2005,Campeche,No recibe ingresos,39159,38322,837,821042,593926,227116,0,0,0
36,2005,Chiapas,1 salario m¡nimo,9054,7105,1949,4807543,3763270,1044273,0,0,0
37,2005,Chiapas,Menos de 1 s.m.,2642672,2468684,173988,4807543,3763270,1044273,0,0,0
38,2005,Chiapas,M s de 1 hasta 2 s.m.,32363,25358,7005,4807543,3763270,1044273,0,0,0
39,2005,Chiapas,M s de 10 s.m.,918823,337370,581453,4807543,3763270,1044273,0,0,0
40,2005,Chiapas,M s de 2 hasta 3 s.m.,415223,407307,7916,4807543,3763270,1044273,0,0,0
41,2005,Chiapas,M s de 3 hasta 5 s.m.,455759,229204,226555,4807543,3763270,1044273,0,0,0
42,2005,Chiapas,M s de 5 hasta 10 s.m.,100311,72664,27647,4807543,3763270,1044273,0,0,0
43,2005,Chiapas,No especificado,23222,12941,10281,4807543,3763270,1044273,0,0,0
44,2005,Chiapas,No recibe ingresos,210116,202637,7479,4807543,3763270,1044273,0,0,0
45,2005,Chihuahua,1 salario m¡nimo,10916,10916,0,3265822,2338295,927527,0,0,0
46,2005,Chihuahua,Menos de 1 s.m.,500772,478085,22687,3265822,2338295,927527,0,0,0
47,2005,Chihuahua,M s de 1 hasta 2 s.m.,32882,27933,4949,3265822,2338295,927527,0,0,0
48,2005,Chihuahua,M s de 10 s.m.,814125,471991,342134,3265822,2338295,927527,0,0,0
49,2005,Chihuahua,M s de 2 hasta 3 s.m.,363994,351234,12760,3265822,2338295,927527,0,0,0
50,2005,Chihuahua,M s de 3 hasta 5 s.m.,1234135,762088,472047,3265822,2338295,927527,0,0,0
51,2005,Chihuahua,M s de 5 hasta 10 s.m.,114287,75082,39205,3265822,2338295,927527,0,0,0
52,2005,Chihuahua,No especificado,61390,41896,19494,3265822,2338295,927527,0,0,0
53,2005,Chihuahua,No recibe ingresos,133321,119070,14251,3265822,2338295,927527,0,0,0
54,2005,Ciudad de Mxico,1 salario m¡nimo,23154,17451,5703,7786083,5242139,2543944,0,0,0
55,2005,Ciudad de Mxico,Menos de 1 s.m.,70315,62886,7429,7786083,5242139,2543944,0,0,0
56,2005,Ciudad de Mxico,M s de 1 hasta 2 s.m.,81373,74264,7109,7786083,5242139,2543944,0,0,0
57,2005,Ciudad de Mxico,M s de 10 s.m.,2842201,1484778,1357423,7786083,5242139,2543944,0,0,0
58,2005,Ciudad de Mxico,M s de 2 hasta 3 s.m.,840869,776214,64655,7786083,5242139,2543944,0,0,0
